priority,action_lane,candidate_id,rank_state,pbcnet_support,gatekeeper_vault,tail_bridge,solvent_ledge,closed_loop_count,edge_degree,rbfe_edge_count,geometry,geometry_evidence_state,pose_evidence_state,water_evidence_state,water_context_requirement,water_context_state,negative_guardrails,wet_review_claim_state,shared_reference_state,shared_reference_rank_scope,shared_reference_delta_g_vs_anchor_kcal_per_mol,shared_reference_graph_path,shared_reference_interpretation,why_now,missing_evidence,next_action
1,pose_evidence,JTY027_aniline_diF_2F6Me_benzamide,official rank 4,0.953,0.9,0.12,0.22,0,0,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
1,pose_evidence,JTY023_4F_pyridyl_tail,3 closed loops,0.919,0.16,0.8,0.1,3,25,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
1,pose_evidence,JTY023_4Br_pyridyl_tail,5 closed loops,0.907,0.16,0.8,0.1,5,43,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
1,pose_evidence,JTY027_aniline_diF_2Me6Cl_benzamide,official rank 6,0.879,0.9,0.12,0.22,0,0,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
1,pose_evidence,JTY027_aniline_diF_2CF3_benzamide,official rank 7,0.815,0.9,0.12,0.92,0,0,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,required: water/site perception or contact-map overlay before wet-review claim,context_required,solvent_ledge_water_shell_probes,blocked_until_water_site_or_contact_overlay,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
1,pose_evidence,JTY023_5F_pyrimidyl_tail,2 closed loops,0.78,0.16,0.8,0.1,2,16,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
1,pose_evidence,JTY027_aniline_diF_2F_benzamide,official rank 8,0.701,0.9,0.12,0.22,0,0,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
1,pose_evidence,JTY027_aniline_diF_2Cl_benzamide,official rank 9,0.688,0.9,0.12,0.22,0,0,0,pose missing,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,no observed docked pose; prep conformer cannot support protein clash claims,docked-pose artifact or receptor-aligned pose,recover docked pose before geometry claims
3,hydrate_site_map,JTY027_aniline_diF_2Cyano_benzamide,official rank 5,0.35,0.9,0.12,0.92,0,0,0,water-context required,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,required: water/site perception or contact-map overlay before wet-review claim,context_required,solvent_ledge_water_shell_probes,blocked_until_water_site_or_contact_overlay,not_applicable,,,,,solvent-ledge probe is missing water/site perception or a receptor contact-map overlay,required: water/site perception or contact-map overlay before wet-review claim,add water/site perception or contact-map overlay before wet-review claim
4,share_reference,JTY026_pyridyl_tail,panel-local,0.598,0.16,0.98,0.1,3,25,0,panel-local only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,tail result is panel-local and cannot globally outrank winner-family nodes,bridge edges or one shared closed graph,share reference frame before ranking
4,share_reference,JTY023_imidazole_tail,panel-local,0.581,0.16,0.98,0.1,2,16,0,panel-local only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,tail result is panel-local and cannot globally outrank winner-family nodes,bridge edges or one shared closed graph,share reference frame before ranking
4,share_reference,JTY026_triazine_tail,panel-local,0.419,0.16,0.98,0.1,4,34,0,panel-local only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,tail result is panel-local and cannot globally outrank winner-family nodes,bridge edges or one shared closed graph,share reference frame before ranking
5,rbfe_confirm,JTY027_aniline_diF_26diMe_benzamide,official rank 1,1.0,0.98,0.12,0.1,0,0,0,PBCNet-only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,top paired-model rank is PBCNet-only; direct RBFE edge or shared closed-loop evidence is missing,direct RBFE edge or shared closed graph before handoff language,queue RBFE or shared closed-loop confirmation before handoff
5,rbfe_confirm,JTY027_aniline_diF_2Et_benzamide,official rank 2,0.983,0.98,0.12,0.1,0,0,0,PBCNet-only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,top paired-model rank is PBCNet-only; direct RBFE edge or shared closed-loop evidence is missing,direct RBFE edge or shared closed graph before handoff language,queue RBFE or shared closed-loop confirmation before handoff
5,rbfe_confirm,JTY027_aniline_diF,official rank 3,0.961,0.76,0.28,0.1,0,0,0,PBCNet-only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,top paired-model rank is PBCNet-only; direct RBFE edge or shared closed-loop evidence is missing,direct RBFE edge or shared closed graph before handoff language,queue RBFE or shared closed-loop confirmation before handoff
5,rbfe_confirm,JTY023_pyrazine_tail,official rank 3,0.825,0.24,0.98,0.1,3,25,0,PBCNet-only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,top paired-model rank is PBCNet-only; direct RBFE edge or shared closed-loop evidence is missing,direct RBFE edge or shared closed graph before handoff language,queue RBFE or shared closed-loop confirmation before handoff
8,context,JTY027_aniline_diF_2Me_benzamide,official rank 6,0.907,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_26diF_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2F6Me_benzamide,unranked context,0.35,0.9,0.12,0.22,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2F_benzamide,unranked context,0.35,0.9,0.12,0.22,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2Me_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2OMe_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_aniline_diF_2OcPr_benzamide,unranked context,0.35,0.9,0.12,0.5,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,required: water/site perception or contact-map overlay before wet-review claim,context_required,solvent_ledge_water_shell_probes,blocked_until_water_site_or_contact_overlay,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_aniline_diF_2cPr_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
